E0,omega0,cutoff_order,plateau_intensity_mean,H5_intensity,H11_intensity,H21_intensity
0.05443460247688942,0.06807036775751281,61,-10.936071821710755,-17.574714673890533,-19.17389078542612,-11.716814304888375
0.0835578688366069,0.06269050437942286,69,-10.877866196806892,-17.276443953984494,-19.322852523058632,-11.072909779091663
0.06421066615413769,0.05418653306331939,81,-11.135084757906563,-17.633474022598264,-19.85344958193045,-8.588876270763121
0.0807735810598297,0.06353741084819241,68,-10.875115560908068,-17.292932900992962,-19.21832886727864,-11.092472378989468
0.0918198081466102,0.06494371717201126,68,-10.836588624233961,-17.16292650088224,-19.119290126414242,-10.937708156579783
0.07893330085782999,0.06388105456111548,67,-10.862717364255527,-17.30812752496561,-19.234499159123484,-11.217967258258943
0.09864442904004958,0.04274195047564148,103,-11.329564603824487,-17.465744707434762,-19.675640512958772,-19.805002029530463
0.0720011846011258,0.04037186972502197,109,-11.478159944015163,-17.789285930345578,-20.01940386398219,-21.399952701468024
0.08422504676772347,0.05419442529403657,80,-11.032762712501368,-17.39611715403386,-19.527909492924532,-8.581105945919747
0.05100378804775105,0.059654068289773265,73,-11.161986725278522,-17.74915328770122,-19.868579294687446,-11.37886264393805
0.06885013728055832,0.0501313912234879,87,-11.1905790228016,-17.640214636840795,-19.86603366875113,-17.43547686993704
0.06487477203077965,0.06783924232755671,64,-10.863089008274411,-17.428522808410907,-19.510533944057762,-11.614368825152093
0.08394823735862973,0.046758769666510686,95,-11.249380576896185,-17.528173982004585,-19.72990420079463,-18.230234855316528
0.09978148455887788,0.061835288854429196,69,-10.852683718328016,-17.13516735314796,-19.266847310082543,-11.06253323816652
0.05501766466413019,0.06135634253348652,71,-11.075694993717608,-17.657881089085944,-19.722338746345066,-11.551590006058245
0.09061051636044638,0.05205737161203885,84,-11.061951018394579,-17.36818864562434,-19.535324031284794,-11.027787988878389
0.054614785342644516,0.04628628638594402,95,-11.45790534901741,-17.910756885888723,-20.142972543661624,-19.671607430158627
0.06419957752331389,0.05040972279790753,86,-11.232284195196074,-17.69601189417453,-19.898432864306514,-17.68298458227657
0.08150676413240161,0.041471128574046466,106,-11.374945910350267,-17.65794547648984,-19.870498833129304,-20.234107619655283
0.08297044969572838,0.05210281115669401,83,-11.047816410908684,-17.4439082477713,-19.596065796988416,-11.169683473765456
0.09861543456173047,0.046482487868832356,96,-11.217540487822431,-17.393288537498574,-19.587624886544543,-18.21773729492203
0.09429653476513689,0.04004481350065143,109,-11.403498673057365,-17.561798583182785,-19.780619684149734,-20.535611124333062
0.06778145691985533,0.06306155201291004,68,-10.922400687203176,-17.45428316177906,-19.591431082953505,-11.305443389343125
0.0558433374922612,0.046365966639532345,94,-11.440197096878443,-17.8891419122648,-20.070399929886,-18.744272269449308
0.05198285717961701,0.06622260055148227,65,-11.015107662576522,-17.641889899328138,-19.737777261797554,-11.764523943491993
0.08785496429905837,0.04454504820139772,100,-11.297870550565063,-17.53066034727865,-19.731051989438352,-19.257760465628042
0.08448758151885571,0.04817970608525121,91,-11.168700485435668,-17.49594505962905,-19.669134422100438,-17.458837850923878
0.05894456209750825,0.05551587663050007,78,-11.156913992902846,-17.686484069616537,-19.856852608490467,-8.619554360432709
0.05162795164749455,0.04112667570167281,106,-11.64348388802287,-18.062020659156094,-20.283217227042563,-20.507067357100283
0.0757058372966535,0.05862252486390363,74,-10.967317517065506,-17.420613557726792,-19.511267171383295,-11.328874457746846
0.08062991474806656,0.06896054221548532,60,-10.740102832367826,-17.225595665572367,-19.11857906243479,-11.459205433456464
0.09763083843081322,0.06406673687099704,68,-10.858347527779014,-17.122539852356113,-19.18458526453459,-11.160686084950346
0.0638304657046281,0.04713262054172473,94,-11.330553776191095,-17.759027990447567,-19.952357744061565,-18.667421636033797
0.09053259031574645,0.06321906486936284,68,-10.831531449509612,-17.200448718211575,-19.25022856014619,-11.035997118220479
0.07250032248088976,0.05812697848388757,75,-10.982954687669665,-17.465555653458775,-19.544959350260964,-11.456573050339589
0.0606551575129387,0.05550346450210797,78,-11.132255289722167,-17.661212694392113,-19.81231634555954,-8.599111958919591
0.08675511727953568,0.051528915832649846,84,-11.049109025908308,-17.41543779267098,-19.630837676313153,-13.595209625539308
0.08234126783333036,0.049899774520614476,88,-11.163051818916294,-17.488518924861253,-19.681747168836026,-17.376098369129725
0.06074905802212997,0.06069365480909208,71,-11.017605364776971,-17.58069056890297,-19.580758780540304,-11.523360983108539
0.08726505163451106,0.05302516407984762,82,-11.047849864572978,-17.38576996450271,-19.601329970947056,-8.777807201658222
0.08496375422759869,0.056376843922035055,77,-10.94936782096545,-17.355883349927673,-19.557910219196955,-9.777597111826418
0.09455244479475332,0.05199848996890873,84,-11.075909080458908,-17.332823142794048,-19.534761580816763,-11.122566931794818
0.08920976161949098,0.06405790492120954,68,-10.828711203689114,-17.201933493306765,-19.319575199557512,-11.05082111834724
0.09009415691732457,0.04447166799441453,100,-11.312497325742955,-17.510508447544836,-19.734571029817214,-19.729356932830854
0.07421976696174677,0.054822991901096865,79,-11.034755109809387,-17.495513214204482,-19.592057808390017,-8.54369790155914
0.056677361642376745,0.0485747492796729,90,-11.363430340190991,-17.836735557987204,-20.067168236042864,-18.457130935010113
0.05941848535456193,0.057269984612095114,76,-11.102378111343791,-17.652074411622802,-19.77674954675385,-11.685595211489856
0.07539316488513205,0.06450362330551407,67,-10.869939754877718,-17.342487171628353,-19.507773109515593,-11.092314361267741
